name,lon,lat
LA HALLE AUX CHAUSSURES LE HAVRE HARFLEUR,49.52553968,0.18855174
LA HALLE AUX CHAUSSURES ROUEN FRANQUEVILLE,49.404187,1.154508
LA HALLE HONFLEUR,49.4197,0.23178
LA HALLE TOURVILLE-LA-RIVIÃRE,49.328051322499995,1.1014134249999998
LA HALLE SAINT-PIERRE-LÃS-ELBEUF,49.28892,1.03922
LA HALLE AUX CHAUSSURES LE HAVRE CENTRE VILLE,49.491276,0.11794349999999999
LA HALLE DIEPPE,49.90777,1.07845
LA HALLE AUX CHAUSSURES DEAUVILLE,49.34675734,0.09867456
LA HALLE AUX CHAUSSURES DIEPPE,49.922992,1.077483
LA HALLE AUX CHAUSSURES MERS LES BAINS,50.066878,1.396677
LA HALLE AUX CHAUSSURES BEAUVAIS TILLE,49.43184,2.106
LA HALLE LA FERRIERES EN BRAY,49.47971149999999,1.7317175
LA HALLE AMIENS,49.87014,2.28108
LA HALLE CHAUSSURES ET MAROQUINERIE AMIENS VALLEE DES VIGNES,49.87014,2.28162
LA HALLE MONTDIDIER,49.64695,2.59078
LA HALLE AUX CHAUSSURES RANTIGNY,49.31914,2.43587
LA HALLE LONGUEAU,49.86922,2.37155
LA HALLE AUX CHAUSSURES MERU,49.21937,2.14021
